,loss,accuracy,val_loss,val_accuracy
0,0.9682897329330444,0.45719999074935913,0.9577226042747498,0.46399998664855957
1,0.9143813252449036,0.4843687415122986,0.8409662842750549,0.5419999957084656
2,0.8248480558395386,0.551800012588501,0.8070281147956848,0.5839999914169312
3,0.7768210172653198,0.5835999846458435,0.8142812252044678,0.5669999718666077
4,0.7822904586791992,0.5753999948501587,0.7523227334022522,0.6079999804496765
5,0.7395023703575134,0.6236000061035156,0.7303712964057922,0.6499999761581421
6,0.7137523293495178,0.6488000154495239,0.755131721496582,0.6169999837875366
7,0.6872601509094238,0.6570000052452087,0.6960863471031189,0.6470000147819519
8,0.6533432006835938,0.6808000206947327,0.6936657428741455,0.6769999861717224
9,0.6256688237190247,0.7070000171661377,0.6272063255310059,0.7229999899864197
10,0.6022504568099976,0.7290580868721008,0.6294065117835999,0.7210000157356262
11,0.5953469276428223,0.7315999865531921,0.654880166053772,0.7099999785423279
12,0.5804104804992676,0.73567134141922,0.523051381111145,0.7680000066757202
13,0.5505465269088745,0.754108190536499,0.6754275560379028,0.7210000157356262
14,0.539936363697052,0.7563126087188721,0.6946674585342407,0.7200000286102295
15,0.5060009956359863,0.7809619307518005,0.6009199619293213,0.746999979019165
16,0.5197182893753052,0.7717999815940857,0.5675147771835327,0.7609999775886536
17,0.5146365761756897,0.7799599170684814,0.9295029044151306,0.5989999771118164
18,0.4940648376941681,0.784600019454956,0.536388099193573,0.7590000033378601
19,0.4647452235221863,0.8008000254631042,0.6231822967529297,0.7429999709129333
20,0.4621453285217285,0.7977955937385559,0.4993739426136017,0.781000018119812
21,0.47005346417427063,0.8008000254631042,0.6452599763870239,0.7350000143051147
22,0.44156545400619507,0.8114228248596191,0.6028600335121155,0.746999979019165
23,0.4554666578769684,0.798797607421875,0.6788559556007385,0.7239999771118164
24,0.4679310917854309,0.7990000247955322,0.5378755331039429,0.7689999938011169
25,0.4175667464733124,0.8163999915122986,0.6369732022285461,0.7350000143051147
26,0.4182811379432678,0.8240000009536743,0.5198994278907776,0.800000011920929
27,0.40228864550590515,0.8285999894142151,0.5244840383529663,0.7929999828338623
28,0.42408251762390137,0.824400007724762,0.5538356304168701,0.7680000066757202
29,0.4084497094154358,0.829859733581543,0.3967995345592499,0.8309999704360962
